48 : 	 my number 34206 	 his number 34463
49 : 	 my number 9125 	 his number 8187
5 : 	 my number 22213 	 his number 22213
50 : 	 my number 31338 	 his number 33112
503 : 	 my number 8499 	 his number 8468
507 : 	 my number 32068 	 his number 37436
508 : 	 my number 11419 	 his number 12982
51 : 	 my number 13922 	 his number 14239
510 : 	 my number 11471 	 his number 8916
512 : 	 my number 10429 	 his number 9858
513 : 	 my number 834 	 	 his number 940
514 : 	 my number 5214 	 his number 4687
515 : 	 my number 6622 	 his number 7246
518 : 	 my number 26176 	 his number 14543
52 : 	 my number 25498 	 his number 24854
520 : 	 my number 4745 	 his number 4745
526 : 	 my number 6205 	 his number 5995
53 : 	 my number 16373 	 his number 18276
531 : 	 my number 29565 	 his number 27396
533 : 	 my number 56210 	 his number 0
54 : 	 my number 10220 	 his number 11171
55 : 	 my number 20805 	 his number 20855
565 : 	 my number 22839 	 his number 28524
57 : 	 my number 13244 	 his number 10364
570 : 	 my number 26332 	 his number 26343
577 : 	 my number 27792 	 his number 29146
58 : 	 my number 7091 	 his number 7091
59 : 	 my number 36552 	 his number 34756
60 : 	 my number 5527 	 his number 13869
600 : 	 my number 23308 	 his number 7922
604 : 	 my number 15591 	 his number 17311
605 : 	 my number 65283 	 his number 64999
607 : 	 my number 35144 	 his number 49119
608 : 	 my number 16321 	 his number 17615
609 : 	 my number 12306 	 his number 12308
61 : 	 my number 51569 	 his number 47133
610 : 	 my number 35822 	 his number 27317
611 : 	 my number 18615 	 his number 15045
612 : 	 my number 11784 	 his number 11787
613 : 	 my number 6570 	 his number 6737
614 : 	 my number 15278 	 his number 13978
615 : 	 my number 16894 	 his number 15591
616 : 	 my number 37543 	 his number 47666
62 : 	 my number 16686 	 his number 16852
620 : 	 my number 17416 	 his number 18597
621 : 	 my number 8186 	 his number 11627
622 : 	 my number 19345 	 his number 27229
623 : 	 my number 37647 	 his number 38902
624 : 	 my number 20075 	 his number 20082
625 : 	 my number 21796 	 his number 24288
626 : 	 my number 13505 	 his number 13299
627 : 	 my number 10116 	 his number 18404
627Ê : 	 my number 25029 	 his number 28651
628 : 	 my number 34101 	 his number 38298
629 : 	 my number 2555 	 his number 2548
630 : 	 my number 21379 	 his number 22156
631 : 	 my number 24403 	 his number 23658
632 : 	 my number 11941 	 his number 8759
633 : 	 my number 5788 	 his number 3911
634 : 	 my number 24194 	 his number 24198
635 : 	 my number 20440 	 his number 15211
636 : 	 my number 15017 	 his number 20178
637 : 	 my number 37386 	 his number 42859
638 : 	 my number 36031 	 his number 34938
639 : 	 my number 17364 	 his number 17246
64 : 	 my number 17833 	 his number 18009
640 : 	 my number 26384 	 his number 25865
642 : 	 my number 27584 	 his number 30787
642Ê : 	 my number 14079 	 his number 14347
643 : 	 my number 14600 	 his number 13508
645 : 	 my number 34466 	 his number 41658
646 : 	 my number 17468 	 his number 15544
647 : 	 my number 35561 	 his number 45213
648 : 	 my number 17259 	 his number 16779
649 : 	 my number 10116 	 his number 11474
65 : 	 my number 34988 	 his number 42438
651 : 	 my number 7300 	 his number 7510
652 : 	 my number 38273 	 his number 33899
653 : 	 my number 111586 	 his number 87756
654 : 	 my number 33111 	 his number 37213
655 : 	 my number 22682 	 his number 30889
655Ê : 	 my number 8343 	 his number 6932
656 : 	 my number 24299 	 his number 20908
657 : 	 my number 26489 	 his number 26947
659 : 	 my number 13818 	 his number 13818
65Ê : 	 my number 21170 	 his number 27714
66 : 	 my number 16738 	 his number 16142
661 : 	 my number 26124 	 his number 27365
662 : 	 my number 31859 	 his number 33005
663 : 	 my number 5475 	 his number 5480
664 : 	 my number 14861 	 his number 15121
665 : 	 my number 25863 	 his number 26228
668 : 	 my number 11263 	 his number 13560
669 : 	 my number 17885 	 his number 18924
67 : 	 my number 12410 	 his number 13918
670 : 	 my number 25654 	 his number 32220
670Ê : 	 my number 10116 	 his number 14287
671 : 	 my number 24611 	 his number 20259
672 : 	 my number 50683 	 his number 36399
674 : 	 my number 17937 	 his number 18717
674Ê : 	 my number 27844 	 his number 27844
675 : 	 my number 9438 	 his number 13229
677 : 	 my number 77328 	 his number 90572
677Ê : 	 my number 30869 	 his number 28635
678 : 	 my number 33371 	 his number 34567
679 : 	 my number 32224 	 his number 24060
68 : 	 my number 21691 	 his number 20912
680 : 	 my number 27427 	 his number 27329
681 : 	 my number 19554 	 his number 20044
682 : 	 my number 32589 	 his number 41955
683 : 	 my number 7769 	 his number 10842
684 : 	 my number 18198 	 his number 21879
685 : 	 my number 22526 	 his number 29619
686 : 	 my number 31077 	 his number 30457
687 : 	 my number 46616 	 his number 46564
688 : 	 my number 35979 	 his number 30261
689 : 	 my number 16216 	 his number 24506
69 : 	 my number 13505 	 his number 13322
690 : 	 my number 29044 	 his number 28584
692 : 	 my number 5475 	 his number 3079
693 : 	 my number 1981 	 his number 11573
694 : 	 my number 12462 	 his number 13000
695 : 	 my number 37751 	 his number 22405
696 : 	 my number 42966 	 his number 40784
697 : 	 my number 21952 	 his number 21952
698 : 	 my number 9699 	 his number 9697
699 : 	 my number 18771 	 his number 16593
7 : 	 my number 11784 	 his number 11790
70 : 	 my number 57670 	 his number 63711
700 : 	 my number 20440 	 his number 24505
701 : 	 my number 21744 	 his number 22938
703 : 	 my number 730 	 	 his number 21004
705 : 	 my number 15539 	 his number 15581
706 : 	 my number 13974 	 his number 16168
707 : 	 my number 22839 	 his number 23777
708 : 	 my number 12045 	 his number 12046
709 : 	 my number 14183 	 his number 14183
71 : 	 my number 22474 	 his number 24206
710 : 	 my number 14339 	 his number 14147
711 : 	 my number 38690 	 his number 39602
712 : 	 my number 20701 	 his number 24612
713 : 	 my number 16634 	 his number 17155
715 : 	 my number 51256 	 his number 39461
716 : 	 my number 36448 	 his number 22991
717 : 	 my number 26124 	 his number 22792
718 : 	 my number 23725 	 his number 28778
719 : 	 my number 21587 	 his number 23986
72 : 	 my number 21639 	 his number 34273
720 : 	 my number 36604 	 his number 25579
